mmu:106740	uncharacterized LOC106740
mmu:230145	Galnt12, 9130206E10, A630062B03Rik; UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (EC:2.4.1.41); K00710 polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
mmu:56316	Ggcx; gamma-glutamyl carboxylase (EC:4.1.1.90); K10106 vitamin K-dependent gamma-carboxylase [EC:4.1.1.90]
mmu:20350	Sema3f, Sema4, Semak; sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F; K06840 semaphorin 3
mmu:14630	Gclm, AI649393, Gcmc, Glclr; glutamate-cysteine ligase, modifier subunit (EC:6.3.2.2); K11205 glutamate--cysteine ligase regulatory subunit
mmu:57815	Spata5, 2510048F20Rik, C78064, Spaf; spermatogenesis associated 5; K14575 AAA family ATPase
mmu:16613	Klk1b11, Klk11, mGK-11; kallikrein 1-related peptidase b11 (EC:3.4.21.35); K01325 tissue kallikrein [EC:3.4.21.35]
mmu:237988	Cdr2l, D030068L24Rik, Gm21; cerebellar degeneration-related protein 2-like
mmu:74361	4931429L15Rik; RIKEN cDNA 4931429L15 gene
mmu:14599	Gh, Gh1; growth hormone; K05438 growth hormone
mmu:22293	Slc45a2, Aim-1, Aim1, Dbr, Matp, Oca4, blanc-sale, bls, uw; solute carrier family 45, member 2; K15378 solute carrier family 45, member 1/2/4
mmu:16617	Klk1b24, Klk24, mGk-24; kallikrein 1-related peptidase b24 (EC:3.4.21.35); K01325 tissue kallikrein [EC:3.4.21.35]
mmu:218454	Lhfpl2, 6030465B15, AI447312, AW050335, mKIAA0206, vgim; lipoma HMGIC fusion partner-like 2
mmu:58207	Slc43a3, Eeg1, SEEEG-1; solute carrier family 43, member 3; K08230 MFS transporter, LAT3 family, solute carrier family 43, member 3
mmu:381375	Dfnb59, Gm1001, Pjvk; deafness, autosomal recessive 59 (human)
mmu:16663	Krt13, CK13, K13, Krt-1.13, Krt1-13; keratin 13; K07604 type I keratin, acidic
mmu:53902	Rcan3, AU041093, Csp3, Dscr1l2; regulator of calcineurin 3; K17905 calcipression-3
mmu:668257	Dgat2l6, 9930021F22Rik; diacylglycerol O-acyltransferase 2-like 6; K11172 diacylglycerol O-acyltransferase 2-like protein 6 [EC:2.3.1.-]
mmu:16675	Krt27, Krt1-c29, mIRSa3.1; keratin 27; K07604 type I keratin, acidic
mmu:66199	Commd4, 1110039H05Rik; COMM domain containing 4
mmu:71729	Rgs12, 1200016K18Rik, 4632412M04Rik, AI481290, E130309H11; regulator of G-protein signaling 12; K16449 regulator of G-protein signaling
mmu:109652	Acy1, 1110014J22Rik, Acy-1; aminoacylase 1 (EC:3.5.1.14); K14677 aminoacylase [EC:3.5.1.14]
mmu:216635	Hbq1a, A230090E05Rik, Gm876, Hbq1, Hbqt2; hemoglobin, theta 1A
mmu:66166	S100a14, 1110013O05Rik, S100a15, S114; S100 calcium binding protein A14
mmu:104174	Gldc, D030049L12Rik, D19Wsu57e; glycine decarboxylase (EC:1.4.4.2); K00281 glycine dehydrogenase [EC:1.4.4.2]
mmu:71228	Dlg5, 4933429D20Rik, T25557, mKIAA0583; discs, large homolog 5 (Drosophila)
mmu:73836	Slc35b2, 1110003M08Rik, AA407792, AI842275, PAPST1, Slc35b1; solute carrier family 35, member B2; K15276 solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2
mmu:67512	Agpat2, 2510002J07Rik, AV000834, BSCL, BSCL1, LPAAB, LPAAT-beta; 1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta) (EC:2.3.1.51); K13509 lysophosphatidate acyltransferase [EC:2.3.1.51]
mmu:110816	Pwp2, 6530411D08Rik, Pwp2h, wdp103; PWP2 periodic tryptophan protein homolog (yeast); K14558 periodic tryptophan protein 2
mmu:217194	Klhl11, BC011167; kelch-like 11; K10449 kelch-like protein 11
mmu:58193	Extl2, 3000001D04Rik, AW146439; exostoses (multiple)-like 2 (EC:2.4.1.223); K02369 alpha-1,4-N-acetylglucosaminyltransferase EXTL2 [EC:2.4.1.223]
mmu:218921	4930474N05Rik; RIKEN cDNA 4930474N05 gene
mmu:68618	1110012L19Rik; RIKEN cDNA 1110012L19 gene
mmu:16770	Lalba, AW208827; lactalbumin, alpha (EC:2.4.1.22); K00704 alpha-lactalbumin [EC:2.4.1.22]
mmu:16559	Kif17, 5930435E01Rik, AW492270, Kif17b, mKIAA1405; kinesin family member 17; K10394 kinesin family member 3/17
mmu:218210	Nup153, B130015D15Rik, C88147; nucleoporin 153; K14296 nuclear pore complex protein Nup153
mmu:56696	Gpr132, G2a; G protein-coupled receptor 132; K08426 G protein-coupled receptor 132
mmu:17292	Mesp1, bHLHc5; mesoderm posterior 1; K09076 mesoderm posterior
mmu:99439	Duox1, 9930101G15Rik, AW987690, Duox2, LNOX1, LNOX2, NOXEF1, NOXEF2, P138-TOX, THOX1, THOX2; dual oxidase 1 (EC:1.6.3.1); K13411 dual oxidase [EC:1.6.3.1 1.11.1.-]
mmu:14400	Gabrb1, AW061132, B230208N19Rik, Gabrb-1; gamma-aminobutyric acid (GABA) A receptor, subunit beta 1; K05181 gamma-aminobutyric acid receptor subunit beta
mmu:56088	Psmg1, AW552102, Dscr2; proteasome (prosome, macropain) assembly chaperone 1; K11875 proteasome assembly chaperone 1
mmu:16795	Large, BPFD#36, Gyltl1a, Mbp-1, Mbp1, enr, fg, froggy, mKIAA0609, myd; like-glycosyltransferase; K09668 glycosyltransferase-like protein LARGE
mmu:21897	Tlr1; toll-like receptor 1; K05398 toll-like receptor 1
mmu:22787	Zp2, Zp-2; zona pellucida glycoprotein 2
mmu:16797	Lat; linker for activation of T cells; K07362 linker for activation of T cells
mmu:380686	Cnrip1, 1500041B16Rik, 3110054C06Rik, 5330437A18Rik, AI854501, C2orf32; cannabinoid receptor interacting protein 1
mmu:214290	Zcchc6, 6030448M23Rik, AA420405; zinc finger, CCHC domain containing 6 (EC:2.7.7.52); K13291 terminal uridylyltransferase [EC:2.7.7.52]
mmu:432582	E130309D14Rik; RIKEN cDNA E130309D14 gene; K16452 coiled-coil domain-containing protein 92
mmu:66404	Rtfdc1, 1700067C04Rik, 2410001C21Rik, 5730427M17Rik, AA589417; replication termination factor 2 domain containing 1
mmu:239283	Oxgr1, Cysltr3, Gm299, Gpr80, Gpr99, P2Y15; oxoglutarate (alpha-ketoglutarate) receptor 1; K08419 oxoglutarate (alpha-ketoglutarate) receptor 1
mmu:16821	Lcn4, A630045M08Rik, Vnsp2; lipocalin 4
mmu:110606	Fntb, 2010013E13Rik, AA409500; farnesyltransferase, CAAX box, beta (EC:2.5.1.58); K05954 protein farnesyltransferase subunit beta [EC:2.5.1.58]
mmu:67678	Lsm3, 1010001J12Rik, 2610005D18Rik, 6030401D18Rik, SMX4, USS2; LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae); K12622 U6 snRNA-associated Sm-like protein LSm3
mmu:17025	Alad, ALADH, Lv; aminolevulinate, delta-, dehydratase (EC:4.2.1.24); K01698 porphobilinogen synthase [EC:4.2.1.24]
mmu:70616	Sugp1, 5730496N02Rik, Sf4; SURP and G patch domain containing 1; K13096 splicing factor 4
mmu:16667	Krt17, K17, Krt1-17; keratin 17; K07604 type I keratin, acidic
mmu:59308	Emcn, 0610012K22Rik, AI315669, Muc14; endomucin; K16664 endomucin
mmu:17068	Ly6d, Ly-61, Ly61, Thb; lymphocyte antigen 6 complex, locus D; K06846 lymphocyte antigen 6 complex
mmu:227630	Lcn11, Gm109; lipocalin 11
mmu:66626	Cdip1, 2700048O17Rik, 5730403B10Rik, AU018521, AW742692, CDIP; cell death inducing Trp53 target 1
mmu:72293	Nkd2, 2210403L10Rik, AW212591; naked cuticle 2 homolog (Drosophila); K03213 naked cuticle
mmu:53317	Plrg1, AA958940, C80566, Tango4; pleiotropic regulator 1, PRL1 homolog (Arabidopsis); K12862 pleiotropic regulator 1
mmu:620709	Lcn6, 9230101D24Rik; lipocalin 6
mmu:18020	Nfatc2ip, D7Ertd304e, NIP45; nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein
mmu:14858	Gsta2, Gst2-2, Gstc-2, Gstc2; glutathione S-transferase, alpha 2 (Yc2) (EC:2.5.1.18); K00799 glutathione S-transferase [EC:2.5.1.18]
mmu:17195	Mbl2, L-MBP, MBL, MBL-C, MBP-C; mannose-binding lectin (protein C) 2; K03991 mannose-binding lectin
mmu:98258	Txndc9, AI098020, APACD; thioredoxin domain containing 9
mmu:77037	Mrap, 1110025G12Rik, Falp, ORF61; melanocortin 2 receptor accessory protein
mmu:72094	Ugt2a3, 2010321J07Rik; UDP glucuronosyltransferase 2 family, polypeptide A3 (EC:2.4.1.17); K00699 glucuronosyltransferase [EC:2.4.1.17]
mmu:17299	Mettl1, 2810012D02Rik; methyltransferase like 1 (EC:2.1.1.33); K03439 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
mmu:107146	Glyat, A330009E03Rik, ACGNAT, AI195249, AI315345, CAT, GAT; glycine-N-acyltransferase (EC:2.3.1.13 2.3.1.71); K00628 glycine N-acyltransferase [EC:2.3.1.13]
mmu:74239	Iqce, 1700028P05Rik, mKIAA1023; IQ motif containing E
mmu:11625	Ahsg; alpha-2-HS-glycoprotein
mmu:14732	Gpam, GPAT, GPAT1; glycerol-3-phosphate acyltransferase, mitochondrial (EC:2.3.1.15); K00629 glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
mmu:73634	1700125H20Rik; RIKEN cDNA 1700125H20 gene
mmu:17392	Mmp3, EMS-2, MMP-3, SL-1, SLN-1, SLN1, STR-1, Stmy1, Str1; matrix metallopeptidase 3 (EC:3.4.24.17); K01394 matrix metalloproteinase-3 (stromelysin 1, progelatinase) [EC:3.4.24.17]
mmu:100040208	Gm2663; predicted gene 2663
mmu:63856	Taf8, AW260255, Tbn; TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factorq; K14649 transcription initiation factor TFIID subunit 8
mmu:244864	Layn, E030012M19Rik, Gm511; layilin; K10077 layilin
mmu:17450	Morc1, Morc; microrchidia 1
mmu:72392	Tmem175, 3010001K23Rik, AI504381; transmembrane protein 175
mmu:235504	Slc17a5, 4631416G20Rik, 4732491M05, AST, ISSD, NSD, SD, SIALIN, SIASD, SLD; solute carrier family 17 (anion/sugar transporter), member 5; K12301 MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 5
mmu:54354	Rassf5, 1300019G20Rik, AU042887, Maxp1, Nore1, Nore1A, Nore1B, Rapl; Ras association (RalGDS/AF-6) domain family member 5; K08015 Ras association domain-containing protein 5
mmu:116914	Slc19a2, AV276020, AW322295, DDA1, THTR1, TRMA; solute carrier family 19 (thiamine transporter), member 2; K14610 solute carrier family 19 (thiamine transporter), member 2/3
mmu:66641	Sike1, 2810005O12Rik, 5730470L24Rik, AI450236, AI839862, Sike, Sikeb; suppressor of IKBKE 1; K12656 suppressor of IKK-epsilon
mmu:66230	Mrps28, 1500012D08Rik, AW061224; mitochondrial ribosomal protein S28; K17407 small subunit ribosomal protein S28
mmu:18025	Nfe2l3, Nrf3; nuclear factor, erythroid derived 2, like 3; K09040 nuclear factor erythroid 2-related factor 1/3
mmu:18575	Pde1c; phosphodiesterase 1C (EC:3.1.4.17); K13755 calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]
mmu:18726	Lilra6, 7M1, Pira3; leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6; K06512 leukocyte immunoglobulin-like receptor
mmu:217030	Synrg, Ap1gbp1, SYNG; synergin, gamma
mmu:18039	Nefl, AI847934, CMT2E, NF-L, NF68, Nfl; neurofilament, light polypeptide; K04572 neurofilament light polypeptide
mmu:13196	Asap1, AV239055, DEF-1, Ddef1, PAP, mKIAA1249, s19; ArfGAP with SH3 domain, ankyrin repeat and PH domain1; K12488 Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein
mmu:66394	Nosip, 2310061K06Rik, CGI-25; nitric oxide synthase interacting protein; K13125 nitric oxide synthase-interacting protein
mmu:69349	1700008O03Rik; RIKEN cDNA 1700008O03 gene
mmu:66432	Slc7a6os, 2010007L18Rik, 2400002F02Rik; solute carrier family 7, member 6 opposite strand
mmu:74430	4930452B06Rik, 4933406L09Rik, AI854000; RIKEN cDNA 4930452B06 gene
mmu:66326	Dnajc5b, 1700008A05Rik; DnaJ (Hsp40) homolog, subfamily C, member 5 beta; K09525 DnaJ homolog subfamily C member 5
mmu:18356	Olfr56, IF7, MOR276-1; olfactory receptor 56; K04257 olfactory receptor
mmu:66368	Rtca, 2310009A18Rik, AI450277, RPC, Rtcd1; RNA 3'-terminal phosphate cyclase (EC:6.5.1.4); K01974 RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]
mmu:12705	Cited1, AI316840, AU019144, Msg1; Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1
mmu:668101	Sirpb1b; signal-regulatory protein beta 1B; K06551 signal-regulatory protein alpha/beta1/gamma
mmu:72542	Pgam5, 2610528A17Rik; phosphoglycerate mutase family member 5 (EC:3.1.3.16); K15637 serine/threonine-protein phosphatase PGAM5 [EC:3.1.3.16]
mmu:228983	Osbpl2, C130070J12Rik, ORP-2, Orp2, mKIAA0772; oxysterol binding protein-like 2
mmu:170789	Acot8, PTE-2, Pte1; acyl-CoA thioesterase 8 (EC:3.1.2.27); K11992 acyl-CoA thioesterase 8 [EC:3.1.2.27]
mmu:22654	Zfp13, 4933429B21, AI835008, Krox-8, Rhit, Zfp-13; zinc finger protein 13; K09228 KRAB domain-containing zinc finger protein
mmu:18810	Plec, AA591047, AU042537, EBS1, PCN, PLTN, Plec1; plectin; K10388 plectin
mmu:277743	Fam131c, Gm693; family with sequence similarity 131, member C
mmu:73809	Satl1, 4930404K22Rik; spermidine/spermine N1-acetyl transferase-like 1
mmu:666317	Prl2c1; Prolactin family 2, subfamily c, member 1
mmu:17931	Ppp1r12a, 1200015F06Rik, 5730577I22Rik, AA792106, AV099298, D10Ertd625e, Mypt1; protein phosphatase 1, regulatory (inhibitor) subunit 12A; K06270 protein phosphatase 1 regulatory subunit 12A
mmu:108956	Apol7c, 2210421G13Rik; apolipoprotein L 7c; K14480 apolipoprotein L
mmu:17002	Ltf, Csp82, Lf, MMS10R, Ms10r; lactotransferrin; K17283 lactotransferrin [EC:3.4.21.-]
mmu:545667	Fam159a, OTTMUSG00000008243; family with sequence similarity 159, member A
mmu:66681	Pgm1, 3230402E02Rik, Pgm-1, Pgm2; phosphoglucomutase 1 (EC:5.4.2.2 5.4.2.7); K15779 phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
mmu:71991	Ercc8, 2410022P04Rik, 2810431L23Rik, 4631412O06Rik, B130065P18Rik, Ckn1, Csa; excision repaiross-complementing rodent repair deficiency, complementation group 8; K10570 DNA excision repair protein ERCC-8
mmu:18971	Pold1, 125kDa; polymerase (DNA directed), delta 1, catalytic subunit (EC:2.7.7.7); K02327 DNA polymerase delta subunit 1 [EC:2.7.7.7]
mmu:14228	Fkbp4, 59kDa, AL022792, AW208983, FKBP-4, FKBP-52, FKBP52, FKPB52, p59; FK506 binding protein 4 (EC:5.2.1.8); K09571 FK506-binding protein 4/5 [EC:5.2.1.8]
mmu:18422	Ott, AV272316; ovary testis transcribed
mmu:69769	Tnfaip8l2, 1810019A08Rik, AW610835, TIPE2; tumor necrosis factor, alpha-induced protein 8-like 2
mmu:18489	Reg3b, HIP, PAP1, Pap, REG-III; regenerating islet-derived 3 beta
mmu:75823	Fam227b, 4930525F21Rik; family with sequence similarity 227, member B
mmu:118453	Mmp28, D130023P12; matrix metallopeptidase 28 (epilysin); K08006 matrix metalloproteinase-28 (epilysin) [EC:3.4.24.-]
mmu:19159	Cyth3, AI648983, ARNO3, CLM3, Grp1, Pscd3; cytohesin 3; K18441 cytohesin
mmu:18631	Pex11a, PEX11alpha; peroxisomal biogenesis factor 11 alpha; K13351 peroxin-11A
mmu:71707	Ubiad1, 1200002M06Rik, AI426463, AW320947, Tere1; UbiA prenyltransferase domain containing 1
mmu:30955	Pik3cg, 5830428L06Rik, PI3Kgamma, p110gamma; phosphoinositide-3-kinase, catalytic, gamma polypeptide (EC:2.7.11.1 2.7.1.153); K00922 phosphatidylinositol-4,5-bisphosphate 3-kinase [EC:2.7.1.153]
mmu:14121	Fbp1, Fbp-2, Fbp2, Fbp3; fructose bisphosphatase 1 (EC:3.1.3.11); K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11]
mmu:18722	Pira1, 6M21, Ly89, PIR-A1, Pir; paired-Ig-like receptor A1; K06512 leukocyte immunoglobulin-like receptor
mmu:110826	Etfb, 0610009I16Rik, 2810441H06Rik; electron transferring flavoprotein, beta polypeptide; K03521 electron transfer flavoprotein beta subunit
mmu:381404	Pabpc1l, 1810053B01Rik, Epab; poly(A) binding protein, cytoplasmic 1-like; K13126 polyadenylate-binding protein
mmu:110948	Hlcs, 410I21.SP6, D16Jhu34; holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase) (EC:6.3.4.10 6.3.4.11 6.3.4.15 6.3.4.9); K01942 biotin--protein ligase [EC:6.3.4.9 6.3.4.10 6.3.4.11 6.3.4.15]
mmu:70691	3830403N18Rik, Xlrl; RIKEN cDNA 3830403N18 gene
mmu:27979	Eif3b, AL033316, AL033334, AL033369, AW208965, D5Wsu45e, EIF3-ETA, EIF3-P110, EIF3-P116, Eif3s9, PRT1; eukaryotic translation initiation factor 3, subunit B; K03253 translation initiation factor 3 subunit B
mmu:18778	Pla2g1b, Pla2a, sPLA2IB; phospholipase A2, group IB, pancreas (EC:3.1.1.4); K01047 secretory phospholipase A2 [EC:3.1.1.4]
mmu:74504	Fam53a, 2410018C17Rik, 5430419M09Rik, Dntnp; family with sequence similarity 53, member A
mmu:69574	Cmbl, 2310016A09Rik; carboxymethylenebutenolidase-like (Pseudomonas); K01061 carboxymethylenebutenolidase [EC:3.1.1.45]
mmu:237891	Gas2l2; growth arrest-specific 2 like 2
mmu:18807	Pld3, Sam-9; phospholipase D family, member 3 (EC:3.1.4.4); K16860 phospholipase D3/4 [EC:3.1.4.4]
mmu:66841	Etfdh, 0610010I20Rik, AV001013; electron transferring flavoprotein, dehydrogenase (EC:1.5.5.1); K00311 electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
mmu:75010	Tmbim7, 4930403J02Rik, 4930500J03Rik, 4930511M11Rik, Lgf5, Tmbim1b; transmembrane BAX inhibitor motif containing 7
mmu:13717	Eln, AI385707, AI480567, E030024M20Rik; elastin; K14211 elastin
mmu:76071	Jakmip1, 5830437M04Rik, C330021K24Rik, Gababrbp, Marlin-1; janus kinase and microtubule interacting protein 1
mmu:18811	Prl2c2, MRP-1, PLF-1, Plf, Plf1; prolactin family 2, subfamily c, member 2
mmu:19763	Ring1, Ring1A; ring finger protein 1; K10695 E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]
mmu:12957	Cryba1, BA3/A1, Cryb; crystallin, beta A1
mmu:19173	Psmb5; proteasome (prosome, macropain) subunit, beta type 5 (EC:3.4.25.1); K02737 20S proteasome subunit beta 5 [EC:3.4.25.1]
mmu:100039377	Gm10096, Xmr-like; predicted gene 10096
mmu:67489	Ap4b1, 1810038H16Rik, AV004952, Ap4b4; adaptor-related protein complex AP-4, beta 1; K12401 AP-4 complex subunit beta-1
mmu:233824	Cog7, 5630400E24Rik, Gm167; component of oligomeric golgi complex 7
mmu:100039324	Gm10147; predicted gene 10147
mmu:19177	Psmb7, AU020723, MC14; proteasome (prosome, macropain) subunit, beta type 7 (EC:3.4.25.1); K02739 20S proteasome subunit beta 2 [EC:3.4.25.1]
mmu:76854	Gper1, 6330420K13Rik, CMKRL2, Ceprl, FEG-1, GPCR-Br, Gper, Gpr30; G protein-coupled estrogen receptor 1; K04246 G protein-coupled receptor 30
mmu:19186	Psme1, AW413925, PA28a; proteasome (prosome, macropain) activator subunit 1 (PA28 alpha); K06696 proteasome activator subunit 1 (PA28 alpha)
mmu:319909	Ism1, 5430433G21Rik, Ism; isthmin 1 homolog (zebrafish)
mmu:77573	Vps33a, 3830421M04Rik, AI503300, AW048546, AW554476, bf; vacuolar protein sorting 33A (yeast)
mmu:19309	Pygm, AI115133, PG; muscle glycogen phosphorylase (EC:2.4.1.1); K00688 starch phosphorylase [EC:2.4.1.1]
mmu:22365	Vps45, AI462172, AW554165, mVps45; vacuolar protein sorting 45 (yeast); K12479 vacuolar protein sorting-associated protein 45
mmu:100039550	Gm10486; predicted gene 10486
mmu:269693	Ccdc60, AU018954, C130098D09; coiled-coil domain containing 60
mmu:71870	Cfap45, 1700028D05Rik, Ccdc19, Nesg1; cilia and flagella associated protein 45
mmu:19331	Rab19; RAB19, member RAS oncogene family; K17047 Ras-related protein Rab-19
mmu:100039467	Gm10487; predicted gene 10487
mmu:234138	Tti2; TELO2 interacting protein 2
mmu:56309	Mycbp, 5730488M09Rik, AW552132, AW742590, Amy-1; c-myc binding protein
mmu:19694	Reg3a, AV063448; regenerating islet-derived 3 alpha
mmu:19695	Reg3g, AI449515; regenerating islet-derived 3 gamma
mmu:83491	Pramel1; preferentially expressed antigen in melanoma-like 1
mmu:22019	Tpp2, TPP-2, TppII; tripeptidyl peptidase II (EC:3.4.14.10); K01280 tripeptidyl-peptidase II [EC:3.4.14.10]
mmu:69499	Tsr2, 2310007F12Rik; TSR2 20S rRNA accumulation; K14800 pre-rRNA-processing protein TSR2
mmu:19935	Mrpl23, L23mrp, Rpl23, Rpl23l; mitochondrial ribosomal protein L23; K02892 large subunit ribosomal protein L23
mmu:13138	Dag1, D9Wsu13e, DG, Dp427, Dp71; dystroglycan 1; K06265 dystroglycan 1
mmu:104444	Rexo2, 1810038D15Rik, AW107347, Sfn, Smfn; REX2, RNA exonuclease 2 homolog (S. cerevisiae); K13288 oligoribonuclease [EC:3.1.-.-]
mmu:67749	Mgarp, 4930583H14Rik, AI195347, CESP-1, HUMMR, Osap, Qsap; mitochondria localized glutamic acid rich protein
mmu:19223	Ptgis, Cyp8, Cyp8a1, Pgis; prostaglandin I2 (prostacyclin) synthase (EC:5.3.99.4); K01831 prostacyclin synthase [EC:5.3.99.4]
mmu:20375	Spi1, Dis-1, Dis1, PU.1, Sfpi-1, Sfpi1, Spi-1, Tcfpu1, Tfpu.1; spleen focus forming virus (SFFV) proviral integration oncogene; K09438 transcription factor PU.1
mmu:76566	Fam101b, 1500005K14Rik, RefilinB, cfm; family with sequence similarity 101, member B
mmu:20503	Slc16a7, 4921534N07Rik, Mct2; solute carrier family 16 (monocarboxylic acid transporters), member 7; K08184 MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 7
mmu:432552	Fam71b, Gari-l3, OTTMUSG00000005491; family with sequence similarity 71, member B
mmu:68603	Pmvk, 1110011E12Rik, 2900002L22Rik, AV001327, PMK, PMKA, PMKASE; phosphomevalonate kinase (EC:2.7.4.2); K13273 phosphomevalonate kinase [EC:2.7.4.2]
mmu:20555	Slfn1, AV316259; schlafen 1
mmu:20556	Slfn2, Shlf2; schlafen 2
mmu:74978	Lrriq1, 4930503E15Rik, Gm1557; leucine-rich repeats and IQ motif containing 1
mmu:224024	Scarf2, AI194363, NSR1, SREC-II, SRECRP-1, Scarf1, Scatf1, Srec2, SrecII, W53987, W65560; scavenger receptor class F, member 2
mmu:67224	Med29, 2810405O22Rik, AU020902, Ixl; mediator complex subunit 29; K15142 mediator of RNA polymerase II transcription subunit 29
mmu:75467	1700011E24Rik, GSE; RIKEN cDNA 1700011E24 gene
mmu:75667	Tmem225, 1700030E15Rik, Tnen225; transmembrane protein 225; K17587 transmembrane protein 225
mmu:110862	Kcnq3; potassium voltage-gated channel, subfamily Q, member 3; K04928 potassium voltage-gated channel KQT-like subfamily member 3
mmu:75939	4930579G24Rik; RIKEN cDNA 4930579G24 gene
mmu:20557	Slfn3; schlafen 3
mmu:20655	Sod1, B430204E11Rik, Cu/Zn-SOD, CuZnSOD, Ipo-1, Ipo1, SODC, Sod-1; superoxide dismutase 1, soluble (EC:1.15.1.1); K04565 superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
mmu:77058	Ccdc183, 4921530D09Rik, Cccd183, Kiaa1984; coiled-coil domain containing 183
mmu:69611	Lce1d, 2310037L11Rik, AI415320, Sprrl7; late cornified envelope 1D
mmu:20680	Sox7; SRY (sex determining region Y)-box 7; K09270 transcription factor SOX7/8/10/18 (SOX group E/F)
mmu:54524	Syt6, 3110037A08Rik, AW048930, sytVI; synaptotagmin VI
mmu:78052	Tmem190, 4930572D21Rik; transmembrane protein 190
mmu:20708	Serpinb6b, NK13, Spi12, ovalbumin; serine (or cysteine) peptidase inhibitor, clade B, member 6b; K13963 serpin B
mmu:78801	Ak7, 4930502N02Rik, AK_7; adenylate kinase 7 (EC:2.7.4.3 2.7.4.6); K00939 adenylate kinase [EC:2.7.4.3]
mmu:20743	Sptbn2, Spnb3, mKIAA0302; spectrin beta, non-erythrocytic 2; K06115 spectrin beta
mmu:67532	Mfap1a, 4432409M24Rik, Mfap1; microfibrillar-associated protein 1A; K13110 microfibrillar-associated protein 1
mmu:626870	Gm11992, OTTMUSG00000005148; predicted gene 11992
mmu:53600	Timm23, Tim23; translocase of inner mitochondrial membrane 23; K17794 mitochondrial import inner membrane translocase subunit TIM23
mmu:545732	4933402N22Rik; RIKEN cDNA 4933402N22 gene
mmu:381122	Capn13, CANP_13, Gm943; calpain 13; K08581 calpain-13 [EC:3.4.22.-]
mmu:11838	Arc, Arc3.1, C86064, arg3.1, mArc; activity regulated cytoskeletal-associated protein; K15867 activity-regulated cytoskeleton-associated protein
mmu:20918	Eif1, Sui1-rs1; eukaryotic translation initiation factor 1; K03113 translation initiation factor 1
mmu:69129	Pex11g, 1810022F11Rik, 1810049N02Rik, Pex11c, Pex11gamma; peroxisomal biogenesis factor 11 gamma; K13353 peroxin-11C
mmu:21412	Tcf21, Pod-1, Pod1, bHLHa23, capsulin, epc, epicardin; transcription factor 21
mmu:19259	Ptpn5, Step; protein tyrosine phosphatase, non-receptor type 5 (EC:3.1.3.48); K18018 tyrosine-protein phosphatase non-receptor type 5 [EC:3.1.3.48]
mmu:114640	Pth2, Tifp39, Tip39; parathyroid hormone 2
mmu:17086	Ncr1, Ly94, NKp46; natural cytotoxicity triggering receptor 1; K06741 natural cytotoxicity triggering receptor 1
mmu:21681	Alyref, ALY, REF1, Refbp1, Thoc4; Aly/REF export factor; K12881 THO complex subunit 4
mmu:237611	Stac3, 9830125E18; SH3 and cysteine rich domain 3
mmu:21803	Tgfb1, TGF-beta1, TGFbeta1, Tgfb, Tgfb-1; transforming growth factor, beta 1; K13375 transforming growth factor beta-1
mmu:21935	Tnfrsf17, BCM, BCMA, Tnfrsf13, Tnfrsf13a; tumor necrosis factor receptor superfamily, member 17; K05153 tumor necrosis factor receptor superfamily member 17
mmu:53319	Nxf1, Mex67, Mvb1, Tap; nuclear RNA export factor 1; K14284 nuclear RNA export factor
mmu:93806	Serpinb9g, 1600002F03Rik, AW545779, NK21B; serine (or cysteine) peptidase inhibitor, clade B, member 9g; K13963 serpin B
mmu:21947	Cd40lg, CD154, CD40-L, Cd40l, HIGM1, IGM, IMD3, Ly-62, Ly62, T-BAM, TRAP, Tnfsf5, gp39; CD40 ligand; K03161 tumor necrosis factor ligand superfamily member 5
